nombre_brevets,inventor
Michael Laguerre,1
Thierry Ferreira,1
Ulf NORDBECK,1
Sergyl Clerget,1
Arno Ruckelshausen,1
Ralf Becker,1
Bernard Marcel Nöel OLLIVIER,1
David Bouchez,1
Alf Trede,1
Dolf Van Der Veen,1
Hermann-Josef Wilhelm,1
Roee FINKELSHTAIN,1
Guillaume CHAMPAIN,1
Alyssandrea Hope Ebrahimpour,1
Mathieu Berard,1
Troy M. Swartwood,1
Hervé Rolland,1
Frederic Bataille,1
Scott MASSEY,1
Shlomo ALMOG,1
Alfred C. Dadson,1
Juanshu Shen,1
Oliver Meil,1
Frédéric Perrotin,1
Dominique Genoud,1
Markus Hoeferlin,1
Simona Birtic,1
Félix VALLIER,1
Kil Sun Yoo,1
Gabor Kosa,1
Marc HAVARD,1
Christopher Todd FORD,1
Mikael Willgert,1
Tyler D Schleicher,1
Christine Camilleri,1
Andreas JOHNEN,1
Mohamed Rebiai,1
Jon Friedman,1
Sébastien Hel,1
Sébastien KERVERDO,1
Julien Mercier,1
Christiane Montastier,1
Detlef Bolz,1
Anver SOTNIKOV,1
Johnson Jun Sing YICK,1
정정은,1
Jonathan BINNEY,1
Vipul V. Rahane,1
Tomoaki Yokono,1
Cheng Chung,1
周世全,1
Kevin L. Mccarthy,1
Jean Viaud,1
Rémi SAYAG,1
Alain Coustou,1
Ludovic GUILLARD,1
Mathias Becker,1
Harshal MORPARIA,1
Timothy Amos Wilcox,1
Thomas Thibault,1
Debashis Neogi,1
Yoshiyuki Sankai,1
Pierre AMOUROUX,1
Pradeep Setlur,1
Paul David MAHACEK,1
Frédéric HEMMELER,1
John R. Pelochino,1
Annick Bernalier,1
Vincent BIHLER,1
Rino Dube,1
Susumu Kabushiki Kaisha Honda Gijyutsu Kenkyusho Miyazaki,1
Brandon Cheung,1
Matthew J. Taschner,1
Jung Youl Park,1
Robert S. Tenerowicz,1
Wade Michael CALLISON,1
Thilo Steckel,1
Maravillas Martinez Lopez,1
Christophe GOUT,1
강석민,1
Bachra Rokbi,1
Didier ANCAY,1
Björn KIEPE,1
Jacob Frank De Groot,1
Herve Balasse,1
Peter Biber,1
Kevin Lomeli,1
Timur M. Dzinaj,1
Fahim Siddiqui,1
박희진,1
Pierre-Emmanuel VIEL,1
Ghislaine Maitre-Wilmotte,1
Agnès GORCE,1
Rizwan MAJEED,1
Henri Leblond,1
Samuel Bernard Clifford BERTRAM,1
Alison Sunstrum,1
Markus Koehler,1
Dario R. LIRIO,1
Anthony Yu,1
Karolyn Terpstra,1
Zach Daniel BELLAY,1
Hugh Pham,1
Anupam MIHARIA,1
Jean-Pierre Marchand,1
Thierry Michelon,1
Frank Bernard,1
Leo Zaccherini,1
Pawin RUTTANASUPA,1
Franco Fois,1
Douglas Keller,1
Philippe Eichler,1
Peer Leithold,1
Heidi Jacobs,1
Gregory Francis Chakwan Lu,1
Joachim H. Wendorff,1
Salah Sukkarieh,1
Géraldine NOGARO,1
Samuel Anderson,1
Francis Sourd,1
Daniel Vinsonneau,1
Mei-Chen Chuang,1
Christian Fougnies,1
최재성,1
Oddgeir HUSØY,1
Florian Belser,1
Martin LARSÉN,1
