count,other_language
English,1777
,818
German,597
French,78
Hungarian,12
David Naylor,4
Bao Tran,4
Farrokh F. Radjy,4
Pouria Ghods,3
Stefan Battlogg,3
Oleg Sinyavskiy,3
Jasvir Singh Gill,3
Dean Paul Forgeron,2
Sanford Allan Victor,2
Steven M. Hoffberg,2
Robert Ernest Troxler,2
Andrew B. Carlson,2
Heather A. Clark,2
David H. Parker,2
Michael Beaugavin Markov,2
Eugenio Minvielle,2
Maxime Jean Jerome Bilet,2
Timothy McCullough,2
Jay Wohlgemuth,2
Roger William Gutwein,2
Dieter H. Klaubert,1
Christopher Cooper,1
Mark F. Roberts,1
Helen Dacres,1
Mahesh Kumar Gellaboina,1
Yo Wen Song,1
Eurica Califorrniaa,1
James M. Brennan,1
David Storek,1
Stephen Ecob,1
Alain Poivet,1
Laurent Allidieres,1
David G. Whitten,1
Thomas Elliot Rabe,1
Shinichiro Nishimura,1
Graham Butler,1
Victor I. Lyamichev,1
Daniel S. Spiro,1
Scott Alan SHIBATA,1
Winston Wong JR.,1
James N. England,1
Marshall Medoff,1
Taras WANKEWYCZ,1
Sylvia Lee-Huang,1
Gemma L. CHANDRATILLAKE,1
David Benjamin Buehler,1
Andy H. Gibbs,1
Eric Schwoebel,1
David R. Scheuing,1
Eugene Yanjun You,1
Frank Tagliaferri,1
Charles Agee Atkins,1
John A. Jarrell,1
Thomas Masterman,1
Chris L. Wurtz,1
Gemma Reguera,1
Darren Roy Link,1
David E. Jones,1
Richard L. Rice,1
Naoaki Yamasaki,1
Robert W. Twitchell Jr.,1
Scott S. Breidenthal,1
Foster Agblevor,1
Ken Pasco,1
Richard Root Woods,1
Paul A. Karam,1
Gregory Charles Gordon,1
Roger Brent,1
Marion E. Cox,1
Jesper Svenning Kristensen,1
Naohiko Hirota,1
Joseph P. Kealy,1
Justin L. Namespetra,1
Nicolas W. SASSOW,1
Lysis Cubieres,1
Hugo Salamanca,1
Kevin Lee Friesth,1
Benjamin Avery Freer,1
Ashutosh Saxena,1
Sidney E. Veazey,1
Roy Edward McAlister,1
Trevor Granger,1
Bruce Martinsen,1
Gary W. Wietgrefe,1
Joanna Aizenberg,1
Francis C. Forsberg,1
Heinz Anderle,1
Michael Christopher Sabino,1
Zadik Hazan,1
Robert G. Batchko,1
John Gates,1
Justin Miller,1
Frank Wegner Donnelly,1
Rustem F. Ismagilov,1
Yilmaz Sozer,1
Deepak Boggavarapu,1
David E. Olson,1
Kemper O'neal Modlin,1
David G. Watters,1
Marcio Marc Abreu,1
Fred Albert,1
Shen-En Chen,1
Chang-Yu Wu,1
Lining Yao,1
Dean Kamen JR.,1
Phillip Clyde Roberts Gurney,1
John Michael DiMaio,1
Darius Gailius,1
Robert Falken,1
Timothy Sean Immel,1
Melvin L. Black,1
Amnon Wolf,1
Alan Waggoner,1
Matthew Ryan Garner,1
Markus Scherer,1
Antonios K. Doufas,1
Mehmet Kesmez,1
Mahalaxmi Gita Bangera,1
Isaac Ost,1
Denis E. Ryono,1
Kwong Joo Leck,1
Shaoyi Jiang,1
David H. Gerwing,1
David Juncker,1
Ernest C. Brown,1
Steven M Hoffberg,1
Koichiro Tanaka,1
Riccardo Signorelli,1
Neal A. Bringe,1
David John Aughton,1
Leroy E. Hood,1
Ryan P. Beggs,1
Kunitoshi Yamamoto,1
Seong Min Lee,1
Muhammad Saleem,1
Bruce Lanning,1
Mani Golparvar-Fard,1
Maria Gröndahl,1
Daniel T. Chiu,1
David D. Duchesneau,1
Timothy M. Chinowsky,1
Michael J. Kline,1
Daniel Berckmans,1
Edward Showalter,1
Simon Nicholas Richmond,1
Robert D. Kaminsky,1
Dignan Herbert Rayner,1
George Sean Monkman,1
Leonard Goldberg,1
Nicholas A. Peppas,1
David A. Doyle,1
Rajat Ghosh,1
Nicolas Di Cesare,1
Jennifer ALBRECHT,1
Emmanuel Zazopoulos,1
Fiorenzo Omenetto,1
Darryl Matlen,1
Mohammad-Reza Tofighi,1
Santhosh Kumar Cothuru,1
Ludwig Aigner,1
II Charles Robert Bupp,1
Takaaki Matsui,1
II Harold E. Childers,1
Ramaraja P. Ramasamy,1
Siyang Zheng,1
D. Gary Young,1
Juzer Jangbarwala,1
Lisa A. Bowden,1
Giovanni M. Ulibarri,1
Wayne E. Buschmann,1
Gabrial M. Galvin,1
Joseph Camillo SAVINO,1
Robert S. Englert,1
Yoshiki Hozumi,1
Yosi Shacham-Diamand,1
David Opalsky,1
Enis Pilavdzic,1
Hong Wang,1
Weixin Zhao,1
Mendy Axlerad,1
Bill Kavadeles,1
Nicholas Abbott,1
Christopher G. BERGERON,1
Midori Shimura,1
Kaori Sendai,1
Kenneth J. Bunk,1
Daniel Ford,1
Allen Ming-Kuang Han,1
Coyte R Jones,1
James A. Glazier,1
Christopher Francis Bathurst,1
Jan Kyhse-Andersen,1
Christopher J. Rennie,1
Mahalaxmi G. Bangera,1
Michael Lester O'Banion,1
Shimeng BEI,1
Michael Baumann,1
Franklin David Deskins,1
Senthil Manickavasgam Kumar,1
Yi-Wen Tang,1
Kohichi Ohshima,1
Ernst Bamberg,1
Austin Greeson,1
Jonathan Robert Cetti,1
Liang Dong,1
Edward F. Tuck,1
Jerold Brickler,1
Simone Fobi,1
Jean-Pierre Riquet,1
Andrew Gunter,1
Richard K. Jordan,1
