year,count,country,inventor
Australia,2006,Thomas Giering,1
Australia,2006,Oliver Martin,1
Australia,2006,Graham Butler,1
Australia,2006,Joachim Voelkening,1
Australia,2006,Michael Hodges,1
Australia,2006,Wolfgang Rauscher,1
Australia,2006,Lysis Cubieres,1
Australia,2006,Gerhard Schwenk,1
Australia,2006,Yannick Mechine,1
Australia,2006,Nicholas John Gudde,1
Australia,2007,Toni Voelker,1
Australia,2007,Tim Ulmasov,1
Australia,2007,Neal A. Bringe,1
Australia,2007,Joanne J. Fillatti,1
Australia,2007,Monica Colt,1
Australia,2007,Mircea Dan Bucevschi,1
Australia,2007,Mendy Axlerad,1
Australia,2008,Steve Verdino,1
Australia,2008,John I. Compton,1
Australia,2008,Mark E. Peters,1
Australia,2008,Jerold Brickler,1
Australia,2008,Roy Cooley,1
Australia,2008,Michael Topputo,1
Australia,2008,Robert B. Fitzpatrick,1
Australia,2009,Heinz Anderle,1
Australia,2009,Hans-Peter Schwarz,1
Australia,2009,Peter Turecek,1
Australia,2009,Daniel R. Boggs,1
Australia,2009,Peter Matthiessen,1
Australia,2009,Thomas Kreil,1
Australia,2009,Kiyoshi Takoi,1
Australia,2009,Takafumi Kaneko,1
Australia,2009,Hisao Kuroda,1
Australia,2009,Kazuyoshi Takeda,1
Australia,2009,Naohiko Hirota,1
Australia,2009,Hirotaka Kaneda,1
Australia,2009,Ulrich Zimmermann,1
Australia,2009,Ernst Bamberg,1
Australia,2009,Randolph Reuss,1
Australia,2009,Willibald Bauer,1
Australia,2009,Albert Gessner,1
Australia,2009,Jan Kyhse-Andersen,1
Australia,2009,Markus Westhoff,1
Australia,2009,Dirk Zimmermann,1
Australia,2013,Poncho Meisenheimer,1
Australia,2013,James Unch,1
Australia,2013,Dieter H. Klaubert,1
Australia,2014,Ian Oliver,1
Australia,2014,Stephen Ecob,1
Australia,2014,Vishal Prabhu,1
Australia,2014,Siraj Issani,1
Australia,2014,Santhosh Kumar Cothuru,1
Australia,2014,Ganapathi Subbu Sethuvenkatraman,1
Australia,2015,Marshall Medoff,2
Australia,2015,Thomas Craig Masterman,2
Australia,2015,Nan Wu,1
Australia,2015,Stephen Charles Trowell,1
Australia,2015,Maia Stapleton MUKHERJEE,1
Australia,2015,Nam Cao Hoai Le,1
Australia,2015,Christopher Cooper,1
Australia,2015,Murat GEL,1
Australia,2015,Yonggang Zhu,1
Australia,2015,Helen Dacres,1
Australia,2015,Jaewoong MOON,1
Australia,2015,Christopher G. BERGERON,1
Australia,2017,Ivan Herbert Godfrey RAYNER,1
Australia,2017,Dignan Herbert Rayner,1
Australia,2018,Marshall Medoff,1
Australia,2018,Robert Paradis,1
Australia,2018,Thomas Masterman,1
Australia,2018,Gabrial M. Galvin,1
Australia,2019,Gregory C. Loney,1
Australia,2019,Colin Kelly,1
Australia,2019,Boris Andreyev,1
Australia,2019,Victor Briones,1
Australia,2019,Keith Moravick,1
Australia,2019,Ryan CENA,1
Australia,2019,Brian Ciopyk,1
Australia,2019,David D. Swenson,1
Australia,2019,Jesus Ching,1
Australia,2019,Edward BIBA,1
Australia,2019,Valeria REVILLA,1
Australia,2019,Jonathan Hong,1
Australia,2019,Adrienne C. LAM,1
Australia,2019,Helen Huang,1
Australia,2019,Jennifer ALBRECHT,1
Australia,2019,Adam De La Zerda,1
Australia,2019,Christopher Francis Bathurst,1
Australia,2020,James M. Brennan,1
Australia,2020,Christopher Michael Mcginnis,1
Australia,2020,Danny Elmer Lindstrom,1
Australia,2020,Eric Child Wilhelmsen,1
Australia,2021,Taras WANKEWYCZ,2
Australia,2021,Harshavardhan THAKAR,1
Australia,2021,Mehmet Kesmez,1
Australia,2021,Cher Chuan LEE,1
Austria,2014,Josef Dipl Ing Giessauf,1
Austria,2014,Christian Msc Maier,1
Belgium,1992,Didier Delobeau,1
Belgium,1992,Marc Roquette,1
Belgium,1992,Pierrick Duflot,1
Belgium,1992,Saiki Yasuyuki,1
Belgium,1992,Mikawa Isao,1
Belgium,1992,Kaji Masayuki,1
Belgium,1995,Yves Poirier,1
Belgium,1995,Douglas Edward Dennis,1
Belgium,1995,Christopher Roland Somerville,1
Belgium,1997,Rodolfo Gabellieri,1
Belgium,2000,Guy F Reinaud,1
Belgium,2001,Christophe Blecker,1
Belgium,2001,Bernard Watheler,1
Belgium,2001,Hary Razafindralambo,1
Belgium,2001,Claude Deroanne,1
Belgium,2001,Jean-Pol Chevalier,1
Belgium,2001,Michel Paquot,1
Belgium,2012,Yann Dugenet,1
Belgium,2012,Veronique Coxam,1
Belgium,2012,Christian Fougnies,1
Belgium,2012,Annick Bernalier,1
Belgium,2012,Heidi Jacobs,1
Belgium,2012,Beatrice Morio,1
Belgium,2016,Fabio Bagnoli,1
Belgium,2016,Maria Scarselli,1
Belgium,2016,Luigi Fiaschi,1
Belgium,2017,Guillaume Wegria,1
Belgium,2017,Carlos CABRERA PINO Juan,1
Belgium,2018,Pierre D'arras,1
Belgium,2019,Thomas Gerner Jacobsen,1
Belgium,2019,Mary Beth G Erstad,1
Belgium,2019,Mohammad Alkhalili,1
Belgium,2019,L Diane Bruce,1
Belgium,2019,Paul Hafey,1
Belgium,2020,Hailong Zhu,1
Belgium,2020,Jiangtao Qiao,1
Belgium,2020,Hongcheng Zhang,1
Belgium,2020,Julien Tesse,1
Belgium,2020,David Baudrez,1
Belgium,2020,Diane Jooris,1
Belgium,2020,Fumin Yu,1
Belgium,2021,Jacques Schmits,1
Belgium,2021,Shimon Steinberg,1
Belgium,2021,Arnon TABIC,1
Belgium,2021,Amir Grosman,1
Belgium,2021,Tom Katz,1
Belgium,2022,Yaping Chang,1
Belgium,2022,Qiudong Zhao,1
Belgium,2023,Thierry Picaud,1
Belgium,2023,Adélaïde Biebuyck,1
Belgium,2023,Clercq Sander De,1
Belgium,2023,Sam Debetencourt,1
Belgium,2023,Brecht Vandevenne,1
Belgium,2023,Kaat Kenis,1
Belgium,2023,Laetitia Dupret,1
Belgium,2023,Fiona Milano,1
Belgium,2023,Lionel Convent,1
