year,count,country,title
Australia,2006.0,Portable apparatus for analysis of a refinery feedstock or a product of a refinery process,1
Australia,2006.0,Value document with luminescent properties,1
Australia,2007.0,Nucleic acid constructs and methods for producing altered seed oil compositions,1
Australia,2007.0,Polymeric materials as stomach filler and their preparation,1
Australia,2008.0,Method and system for calculating and reporting slump in delivery vehicles,1
Australia,2009.0,Method for the Validatable Inactivation of Pathogens in Biological Fluid by Irradiation,1
Australia,2009.0,Barley lipoxygenase-1 gene selection method for barley materials for malt alcoholic beverages and method for production of malt alcoholic beverages,1
Australia,2009.0,Dual affinity polypeptides for purification,1
Australia,2009.0,Method and device for determining a pressure parameter of a plant sample,1
Australia,2013.0,Novel coelenterazine substrates and methods of use,1
Australia,2014.0,Plant profile watering system,1
Australia,2014.0,Method and system for positioning an apparatus for monitoring a parabolic reflector aerially,1
Australia,2015.0,Upgrading process streams,1
Australia,2015.0,Methods and systems for detecting an analyte or classifying a sample,1
Australia,2015.0,Processing Biomass,1
Australia,2017.0,An apparatus and system for providing a secondary power source for an electric vehicle,1
Australia,2018.0,Processing Hydroxy-Carboxylic Acids To Polymers,1
Australia,2018.0,Methods for the preparation of obeticholic acid and derivatives thereof,1
Australia,2019.0,Devices and methods for nucleic acid extraction,1
Australia,2019.0,System for removal of toxic waste from woody materials,1
Australia,2020.0,In-line sensor validation system,1
Australia,2021.0,Drone box,1
Australia,2021.0,Unmanned vehicle,1
Austria,2014.0,Verfahren und Vorrichtung zur Herstellung eines Spritzgussteils,1
Belgium,,,8
Belgium,1900.0,,1
Belgium,1964.0,,1
Belgium,1969.0,,1
Belgium,1974.0,Appareil pour traiter des liquides.,1
Belgium,1978.0,Machine d'arrosage,1
Belgium,1992.0,Methode et machine de plantation automatique de plantules.,1
Belgium,1992.0,Procede de preparation de sirops de fructose a partir de matieres premieres vegetales contenant de l'inuline.,1
Belgium,1995.0,Plantes transgeniques productrices de polyhydroxyalcanoates.,1
Belgium,1997.0,Procede de traitement par combustion-pyrolyse de residus notamment vegetaux et installation a cet effet.,1
Belgium,2000.0,Procede de quantification d'une biomasse.,1
Belgium,2001.0,Nouvelles fractions d'inuline leur preparation et leur utilisation.,1
Belgium,2006.0,Procede contre les inondations et/ou pour restaurer des nappes phreatiques et/ou des sources.,1
Belgium,2006.0,Dispositif d'hydratation et/ou contre l'hyperthermie.,1
Belgium,2012.0,Compositions contenant des melanges de fibres fermentescibles.,1
Belgium,2016.0,Antigenes staphylococciques mutants,1
Belgium,2017.0,Composition bioactive pour améliorer la tolérance au stress des plantes,1
Belgium,2018.0,Procede de traitement du lin bourre de lin et fibre de lin,1
Belgium,2019.0,Solution orale d’acide tranexamique,1
Belgium,2020.0,Procédé et système pour générer une session thérapeutique,1
Belgium,2020.0,Procédé pour identifier l'authenticité du miel de tilleul,1
Belgium,2020.0,Réseau neuronal artificiel pour identifier les points anatomiques d'un pied et pour sélectionner un article chaussant,1
Belgium,2021.0,Appareil de telecommunication electronique,1
Belgium,2021.0,Nouveaux procédés d'élevage et de libération contrôlée d'acariens prédateurs,1
Belgium,2022.0,Un observateur d'évapotranspiration de surface terrestre pratique,1
Belgium,2023.0,Composteur domestique,1
Belgium,2023.0,Procédé de génération d'un plan de traitement adapté pour le développement d'une surface cultivée sans pesticides d'origine chimique modèle d'apprentissage et système associés,1
Brazil,2017.0,Instalação e método para moldagem de produtos tridimensionais a partir de uma massa de material alimentício bombeável,1
Brazil,2018.0,composto composição farmacêutica e uso de um composto ou sal farmaceuticamente aceitável do mesmo ou de uma composição farmacêutica,1
Brazil,2020.0,Substrato de condução de calor para dispositivo de entrega de aerossol aquecido eletricamente,1
Brazil,2020.0,Dispositivo de entrega de aerossol fornecendo controle de aroma,1
Brazil,2020.0,Dispositivo de entrega de aerossol com movimento de indexação,1
Brazil,2021.0,aparelho para uso na formação de uma infusão método de produção de uma infusão fria cápsula para uso na formação de uma infusão fria com um suprimento de água fria em aproximadamente um minuto método de uso da cápsula método de uso do sistema para produzir uma bebida naturalmente carbonatada aparelho para formar uma infusão método de uso do aparelho aparelho para entregar um fluido pilha para uso na formação de uma infusão método de uso da pilha método de formação de uma infusão com o uso da cápsula método de cozimento de uma refeição com o uso da cápsula e cápsula reutilizável para que se use o próprio material de infusão recém-preparado para formar uma infusão,1
Brazil,2021.0,Membro de fonte de aerossol tendo material susceptor e precursor de aerossol combinado,1
Canada,1987.0,Appareil medical pour l'exsufflation des pneumothorax,1
Canada,1991.0,Appareil d'injection ou de prelevement de substances et son application notamment a la mesotherapie humaine,1
Canada,2021.0,Digital twin systems and methods for transportation systems,1
Canada,1991.0,Dispositif pour le calcul de la valeur du parametre representatif de la quantite de chaleur recue par une plante depuis le debut de sa croissance,1
Canada,1993.0,Procede de protection de container utilise en pepiniere et horticulture machine a cet effet et container ainsi protege,1
Canada,1994.0,Dispositif implantable de protection contre les affections liees a la coagulation sanguine,1
Canada,1996.0,Appareil motorise et a commande manuelle pour orienter les lames d'un store horizontal (venitien),1
Canada,1997.0,Sequences d'adn codant pour une cinnamoyl coa reductase et leurs applications dans le domaine de la regulation des teneurs en lignines des plantes,1
Canada,2001.0,Procede de preparation d'extraits de plantes actifs et utiles a la capture de radicaux libres; les extraits et compositions et dispositifs les comprenant,1
Canada,2001.0,Procede d'obtention de plantes presentant une resistance accrue a un stress hydrique,1
Canada,2002.0,Procede de controle d'une installation de revetement de surface,1
Canada,2002.0,Methode et equipement pour le remplissage la pesee et le pressage sous vide de fromage a pate ferme ou demi-ferme,1
Canada,2003.0,Procede de regulation du debit de poudre transportee par un flux d'air et dispositif pour sa mise en oeuvre,1
Canada,2005.0,Ensemble outil electrique portatif autonome de puissance,1
Canada,2005.0,Resource management system for example tracking and management system for trucks,1
Canada,2005.0,Novel modified galectin 9 proteins and use thereof,1
Canada,2005.0,Lactobacillus acidophilus nucleic acid sequences encoding carbohydrate utilization-related proteins and uses therefor,1
Canada,2006.0,Methods for producing polypeptides by regulating polypeptide association,1
Canada,2006.0,Stabilizer for protein preparation comprising meglumine and use thereof,1
Canada,2006.0,Hydrogen generation and energy production assemblies,1
Canada,2006.0,Use of the receptor gpr86,1
Canada,2007.0,Phytase de debaryomyces castellii,1
Canada,2007.0,Anti-il-17 antibodies,1
Canada,2007.0,Method and device for burning-off precious metal-containing materials,1
Canada,2007.0,Method and apparatus for correlating levels of biomarker products with disease,1
Canada,2007.0,Methods of amplifying sequencing nucleic acids,1
Canada,2008.0,Calibration method,1
Canada,2008.0,Alliage austenitique fer-nickel-chrome-cuivre,1
Canada,2008.0,Dispositif d'aide au diagnostic et pronostic de modifications physiopathologiques des tissus,1
Canada,2008.0,Procede de reglage des parametres d'injection de combustion et/ou de post-traitement d'un moteur a combustion interne a auto-allumage,1
Canada,2010.0,Association de lycopene polyphenol et vitamines pour le soin des matieres keratiniques,1
