count,country,other_language,inventor
Australia,Helen Dacres,Nam Cao Hoai Le,1
Australia,Helen Dacres,Nan Wu,1
Australia,Dieter H. Klaubert,James Unch,1
Australia,Dieter H. Klaubert,Poncho Meisenheimer,1
Australia,Christopher Cooper,Marshall Medoff,1
Australia,Stephen Ecob,Stephen Ecob,1
Australia,Helen Dacres,Helen Dacres,1
Australia,James M. Brennan,Christopher Michael Mcginnis,1
Australia,James M. Brennan,James M. Brennan,1
Australia,Taras WANKEWYCZ,Taras WANKEWYCZ,1
Australia,Stephen Ecob,Ian Oliver,1
Australia,James M. Brennan,Eric Child Wilhelmsen,1
Australia,Helen Dacres,Yonggang Zhu,1
Australia,Christopher Cooper,Christopher Cooper,1
Australia,Dieter H. Klaubert,Dieter H. Klaubert,1
Australia,James M. Brennan,Danny Elmer Lindstrom,1
Australia,Helen Dacres,Stephen Charles Trowell,1
Australia,Christopher Cooper,Thomas Craig Masterman,1
Australia,Christopher Cooper,Maia Stapleton MUKHERJEE,1
Australia,Helen Dacres,Murat GEL,1
Australia,Dignan Herbert Rayner,Ivan Herbert Godfrey RAYNER,1
Australia,Lysis Cubieres,Oliver Martin,1
Australia,Thomas Masterman,Thomas Masterman,1
Australia,Thomas Masterman,Robert Paradis,1
Australia,Heinz Anderle,Thomas Kreil,1
Australia,Graham Butler,Joachim Voelkening,1
Australia,Neal A. Bringe,Tim Ulmasov,1
Australia,Heinz Anderle,Daniel R. Boggs,1
Australia,Heinz Anderle,Peter Matthiessen,1
Australia,Graham Butler,Michael Hodges,1
Australia,Thomas Masterman,Marshall Medoff,1
Australia,Heinz Anderle,Heinz Anderle,1
Australia,Graham Butler,Graham Butler,1
Australia,Dignan Herbert Rayner,Dignan Herbert Rayner,1
Australia,Neal A. Bringe,Joanne J. Fillatti,1
Australia,Lysis Cubieres,Wolfgang Rauscher,1
Australia,Heinz Anderle,Hans-Peter Schwarz,1
Australia,Graham Butler,Nicholas John Gudde,1
Australia,Heinz Anderle,Peter Turecek,1
Australia,Lysis Cubieres,Gerhard Schwenk,1
Australia,Neal A. Bringe,Toni Voelker,1
Australia,Lysis Cubieres,Thomas Giering,1
Australia,Neal A. Bringe,Neal A. Bringe,1
Australia,Lysis Cubieres,Lysis Cubieres,1
Australia,Lysis Cubieres,Yannick Mechine,1
Australia,Jennifer ALBRECHT,Boris Andreyev,1
Australia,Jennifer ALBRECHT,Adrienne C. LAM,1
Australia,Naohiko Hirota,Naohiko Hirota,1
Australia,Santhosh Kumar Cothuru,Siraj Issani,1
Australia,Jerold Brickler,Robert B. Fitzpatrick,1
Australia,Jerold Brickler,Steve Verdino,1
Australia,Naohiko Hirota,Hirotaka Kaneda,1
Australia,Santhosh Kumar Cothuru,Ganapathi Subbu Sethuvenkatraman,1
Australia,Naohiko Hirota,Hisao Kuroda,1
Australia,Mendy Axlerad,Mendy Axlerad,1
Australia,Jennifer ALBRECHT,Helen Huang,1
Australia,Santhosh Kumar Cothuru,Santhosh Kumar Cothuru,1
Australia,Christopher Francis Bathurst,Christopher Francis Bathurst,1
Australia,Jerold Brickler,Jerold Brickler,1
Australia,Jerold Brickler,Michael Topputo,1
Australia,Ernst Bamberg,Ulrich Zimmermann,1
Australia,Jennifer ALBRECHT,Brian Ciopyk,1
Australia,Ernst Bamberg,Randolph Reuss,1
Australia,Jennifer ALBRECHT,Ryan CENA,1
Australia,Christopher G. BERGERON,Marshall Medoff,1
Australia,Jerold Brickler,Mark E. Peters,1
Australia,Naohiko Hirota,Kazuyoshi Takeda,1
Australia,Ernst Bamberg,Willibald Bauer,1
Australia,Mehmet Kesmez,Cher Chuan LEE,1
Australia,Jennifer ALBRECHT,Jesus Ching,1
Australia,Mehmet Kesmez,Taras WANKEWYCZ,1
Australia,Jan Kyhse-Andersen,Jan Kyhse-Andersen,1
Australia,Santhosh Kumar Cothuru,Vishal Prabhu,1
Australia,Christopher G. BERGERON,Christopher G. BERGERON,1
Australia,Christopher G. BERGERON,Jaewoong MOON,1
Australia,Jennifer ALBRECHT,Jonathan Hong,1
Australia,Naohiko Hirota,Takafumi Kaneko,1
Australia,Jennifer ALBRECHT,Victor Briones,1
Australia,Jennifer ALBRECHT,Adam De La Zerda,1
Australia,Naohiko Hirota,Kiyoshi Takoi,1
Australia,Jennifer ALBRECHT,Keith Moravick,1
Australia,Gabrial M. Galvin,Gabrial M. Galvin,1
Australia,Ernst Bamberg,Albert Gessner,1
Australia,Jennifer ALBRECHT,Colin Kelly,1
Australia,Mehmet Kesmez,Harshavardhan THAKAR,1
Australia,Mendy Axlerad,Monica Colt,1
Australia,Jennifer ALBRECHT,Gregory C. Loney,1
Australia,Jerold Brickler,John I. Compton,1
Australia,Jennifer ALBRECHT,Jennifer ALBRECHT,1
Australia,Mehmet Kesmez,Mehmet Kesmez,1
Australia,Jennifer ALBRECHT,Edward BIBA,1
Australia,Ernst Bamberg,Ernst Bamberg,1
Australia,Christopher G. BERGERON,Thomas Craig Masterman,1
Australia,Ernst Bamberg,Dirk Zimmermann,1
