count,mot
selon,9347
revendications,5484
revendication,4014
moins,3584
quelconque,3516
said,2114
der,2060
lequel,1981
entre,1877
ladite,1744
comprend,1661
ledit,1583
moyens,1487
comprenant,1452
Dispositif,1443
claim,1436
wherein,1422
dispositif,1312
according,1288
one,1279
poids,1236
die,1172
laquelle,1148
Composition,1111
position,1099
nach,1064
parmi,1051
rapport,1021
composition,1009
dudit,934
deux,931
einem,919
plant,889
und,867
moyen,865
comporte,830
dass,809
second,808
first,761
least,748
chaque,727
partie,725
dadurch,709
sous,707
plus,704
mobile,702
system,653
comportant,632
means,624
traitement,622
groupe,604
forme,594
surface,591
device,589
premier,584
eine,580
notamment,579
comprise,579
support,571
sensor,559
plusieurs,558
commande,556
capteur,556
comprises,537
outre,510
oder,507
choisi,507
Installation,502
Anspruch,499
non,491
rotation,473
zone,471
method,469
total,465
module,450
von,438
unit,438
fonction,429
leurs,429
particulier,419
claims,417
mesure,410
partir,406
comprising,401
bis,396
wobei,394
type,391
control,390
tel,388
direction,388
peut,382
das,377
ein,377
characterized,370
einer,367
mit,367
gras,363
signal,356
phase,352
part,352
communication,349
dont,349
dem,344
suivant,342
preceding,338
huiles,332
beurre,332
einen,330
mise,329
moteur,324
vers,323
portion,322
pression,321
lesdits,319
characterised,318
formule,317
machine,317
atomes,313
produit,309
corps,307
structure,307
liquide,306
data,306
fait,306
lorsque,303
encore,300
valeur,294
zur,288
source,284
tels,282
apte,280
compris,276
fibres,274
den,273
base,273
contact,270
bras,269
capteurs,268
distance,262
permettant,260
allant,259
paroi,253
circuit,252
mindestens,251
telle,249
vitesse,248
comprennent,245
claimed,244
Machine,244
Utilisation,241
plurality,240
contenant,238
zu,238
fluide,236
mieux,235
exemple,235
niveau,231
sortie,231
gaz,229
nombre,228
choisis,227
plan,225
lesdites,223
lors,223
teneur,220
configured,214
sensiblement,213
axe,213
Verfahren,213
sorte,211
seconde,211
culture,210
cette,210
apparatus,209
sans,209
choisie,208
volume,205
point,205
member,202
esters,201
eines,200
milieu,198
comme,198
ainsi,196
interne,193
durch,192
liaison,189
mode,186
image,184
connected,183
informations,182
extrait,181
ensemble,181
desdits,180
transmission,179
chacun,179
mouvement,178
avant,175
arranged,175
station,174
desdites,174
huile,174
audit,173
vorhergehenden,173
information,172
pendant,171
suivantes,171
plants,170
water,168
agricole,168
air,168
sol,168
agent,166
acide,166
plante,166
puissance,165
afin,165
distribution,165
relative,164
flux,163
agents,162
respectivement,162
stockage,162
autour,162
groupement,161
provided,160
solution,160
aus,159
set,156
movable,156
guidage,156
production,155
selected,155
organe,155
conduit,154
el,153
chambre,152
fonctionnement,152
sens,152
masse,150
correspondant,150
couche,149
particules,148
pressure,148
assembly,148
face,147
oeuvre,146
supervision,146
detection,145
aqueuse,145
Vorrichtung,144
auf,144
carbone,144
alkyle,144
parties,144
passage,143
avantageusement,142
R,142
includes,141
temps,141
surveillance,141
consistant,141
radical,140
solvant,140
groupes,139
plantes,137
obtenu,137
rayonnement,135
computer,135
flow,135
optique,135
cible,135
tube,134
concentration,133
zum,132
chacune,132
installation,132
protection,131
trois,131
conveyor,131
peau,131
si,130
centrale,130
